_id,age,draf,height,nation,number,player,position,pre_draf_team,team,weight,yos
5bfa2d1cdc6f74efb340a1cb,23,2018 Rnd 2 Pick 24,6-6,United States,18,Shake Milton,SG,Southern Methodist,Philadelphia Sixers,205,0
5bfa2d1cdc6f74efb340a1cc,27,2011 Rnd 1 Pick 23,6-10,MontenegroSpain,3,Nikola Mirotic,F,Real Madrid (Spain),New Orleans Pelicans,250,4
5bfa2d1cdc6f74efb340a1cd,22,2017 Rnd 1 Pick 13,6-3,United States,45,Donovan Mitchell,SG,Louisville,Utah Jazz,215,1
5bfa2d1cdc6f74efb340a1ce,20,2017 Rnd 1 Pick 11,6-3,United States,1,Malik Monk,SG,Kentucky,Charlotte Hornets,200,1
5bfa2d1cdc6f74efb340a1cf,28,2010 Rnd 1 Pick 7,6-11,United States,15,Greg Monroe,FC,Georgetown,Toronto Raptors,265,8
5bfa2d1cdc6f74efb340a1d0,23,"2017 NBA Draft, Undrafted",6-8,United States,26,Ben Moore,F,Southern Methodist,San Antonio Spurs,220,1
5bfa2d1cdc6f74efb340a1d1,29,2011 Rnd 2 Pick 25,6-4,United States,55,E'Twaun Moore,SG,Purdue,New Orleans Pelicans,191,7
5bfa2d1cdc6f74efb340a1d2,23,"2017 NBA Draft, Undrafted",6-5,United States,30,Jaylen Morris,G,Molloy,Milwaukee Bucks,192,1
5bfa2d1cdc6f74efb340a1d3,29,2011 Rnd 1 Pick 14,6-9,United States,13,Marcus Morris,F,Kansas,Boston Celtics,235,7
5bfa2d1cdc6f74efb340a1d4,29,2011 Rnd 1 Pick 13,6-10,United States,5,Markieff Morris,PF,Kansas,Washington Wizards,245,7
5bfa2d1cdc6f74efb340a1d5,23,2017 Rnd 2 Pick 21,6-3,United States,11,Monte Morris,G,Iowa State,Denver Nuggets,175,1
5bfa2d1cdc6f74efb340a1d6,24,"2017 NBA Draft, Undrafted",6-10,United States,15,Johnathan Motley,F,Baylor,Los Angeles Clippers,230,1
5bfa2d1cdc6f74efb340a1d7,32,"2008 NBA Draft, Undrafted",7-1,Russia,21,Timofey Mozgov,C,Khimki (Russia),Orlando Magic,275,8
5bfa2d1cdc6f74efb340a1d8,22,2015 Rnd 1 Pick 7,6-5,United StatesDemocratic Republic of the Congo,1,Emmanuel Mudiay,SG,Guangzhou Long-Lions (China),New York Knicks,200,3
5bfa2d1cdc6f74efb340a1d9,22,2016 Rnd 1 Pick 29,6-5,United States,5,Dejounte Murray,SG,Washington,San Antonio Spurs,170,2
5bfa2d1cdc6f74efb340a1da,21,2016 Rnd 1 Pick 7,6-4,Canada,27,Jamal Murray,SG,Kentucky,Denver Nuggets,207,2
5bfa2d1cdc6f74efb340a1db,19,2018 Rnd 1 Pick 29,6-9,Bosnia and Herzegovina,30,Dzanan Musa,SG,Cedevita (Croatia),Brooklyn Nets,208,0
5bfa2d1cdc6f74efb340a1dc,27,2013 Rnd 2 Pick 14,6-11,United States,31,Mike Muscala,FC,Bucknell,Philadelphia Sixers,240,5
5bfa2d1cdc6f74efb340a1dd,21,2018 Rnd 2 Pick 17,6-8,Ukraine,10,Svi Mykhailiuk,SF,Kansas,Los Angeles Lakers,212,0
5bfa2d1cdc6f74efb340a1de,24,2016 Rnd 2 Pick 28,6-6,United StatesEgypt,11,Abdel Nader,SF,Iowa State,Oklahoma City Thunder,225,1
5bfa2d1cdc6f74efb340a1df,25,2015 Rnd 1 Pick 27,6-9,United States,22,"Larry Nance, Jr.",SF,Wyoming,Cleveland Cavaliers,230,3
5bfa2d1cdc6f74efb340a1e0,27,2014 Rnd 1 Pick 24,6-1,United StatesPuerto Rico,13,Shabazz Napier,PG,Connecticut,Brooklyn Nets,180,4
5bfa2d1cdc6f74efb340a1e1,36,2002 Rnd 1 Pick 7,6-11,Brazil,42,Maybyner Nene,C,Vasco da Gama (Brazil),Houston Rockets,250,16
5bfa2d1cdc6f74efb340a1e2,26,2013 Rnd 2 Pick 17,6-1,Brazil,25,Raulzinho Neto,PG,Delteco GBC (Spain),Utah Jazz,179,3
5bfa2d1cdc6f74efb340a1e3,25,2016 Rnd 2 Pick 20,6-8,United States,31,Georges Niang,F,Iowa State,Utah Jazz,230,2
5bfa2d1cdc6f74efb340a1e4,24,2013 Rnd 1 Pick 6,6-11,United States,3,Nerlens Noel,FC,Kentucky,Oklahoma City Thunder,220,5
5bfa2d1cdc6f74efb340a1e5,40,1998 Rnd 1 Pick 9,7-0,Germany,41,Dirk Nowitzki,PF,DJK Wurzburg (Germany),Dallas Mavericks,245,20
5bfa2d1cdc6f74efb340a1e6,20,2017 Rnd 1 Pick 8,6-5,BelgiumFrance,11,Frank Ntilikina,PG,Strasbourg IG (France),New York Knicks,190,1
5bfa2d1cdc6f74efb340a1e7,28,"2012 NBA Draft, Undrafted",6-7,United States,7,James Nunnally,F,UC Santa Barbara,Minnesota Timberwolves,220,1
5bfa2d1cdc6f74efb340a1e8,24,2014 Rnd 1 Pick 16,7-0,Bosnia and Herzegovina,27,Jusuf Nurkic,FC,Cedevita (Croatia),Portland Trail Blazers,275,4
5bfa2d1cdc6f74efb340a1e9,25,"2016 NBA Draft, Undrafted",6-4,United States,12,David Nwaba,G,Cal Poly,Cleveland Cavaliers,219,2
5bfa2d1cdc6f74efb340a1ea,25,"2015 NBA Draft, Undrafted",6-6,United States,23,Royce O'Neale,SF,Baylor,Utah Jazz,226,1
5bfa2d1cdc6f74efb340a1eb,28,2012 Rnd 2 Pick 19,6-10,United States,10,Kyle O'Quinn,F,Norfolk State,Indiana Pacers,250,6
5bfa2d1cdc6f74efb340a1ec,23,2017 Rnd 2 Pick 7,6-7,United States,37,Semi Ojeleye,SF,Southern Methodist,Boston Celtics,241,1
5bfa2d1cdc6f74efb340a1ed,22,2015 Rnd 1 Pick 3,6-11,United States,8,Jahlil Okafor,C,Duke,New Orleans Pelicans,275,3
5bfa2d1cdc6f74efb340a1ee,21,2018 Rnd 2 Pick 1,6-2,France,2,Elie Okobo,PG,Pau-Orthez (France),Phoenix Suns,180,0
5bfa2d1cdc6f74efb340a1ef,20,2018 Rnd 1 Pick 20,6-5,NigeriaUnited States,20,Josh Okogie,SG,Georgia Tech,Minnesota Timberwolves,211,0
5bfa2d1cdc6f74efb340a1f0,26,2013 Rnd 1 Pick 2,6-4,United States,4,Victor Oladipo,G,Indiana,Indiana Pacers,210,5
5bfa2d1cdc6f74efb340a1f1,27,2013 Rnd 1 Pick 13,7-0,Canada,9,Kelly Olynyk,C,Gonzaga,Miami Heat,240,5
5bfa2d1cdc6f74efb340a1f2,23,2015 Rnd 2 Pick 1,6-8,MacedoniaTurkey,16,Cedi Osman,GF,Anadolu Efes (Turkey),Cleveland Cavaliers,215,1
5bfa2d1cdc6f74efb340a1f3,22,2015 Rnd 1 Pick 15,6-7,United States,12,"Kelly Oubre, Jr.",SF,Kansas,Washington Wizards,205,3
5bfa2d1cdc6f74efb340a1f4,34,2003 Rnd 2 Pick 13,6-11,Georgia,27,Zaza Pachulia,C,Alpella B.K. (Turkey),Detroit Pistons,270,15
5bfa2d1cdc6f74efb340a1f5,23,2014 Rnd 1 Pick 2,6-8,United States,2,Jabari Parker,F,Duke,Chicago Bulls,245,4
5bfa2d1cdc6f74efb340a1f6,36,2001 Rnd 1 Pick 28,6-2,France,9,Tony Parker,G,Paris Basket Racing (France),Charlotte Hornets,185,17
5bfa2d1cdc6f74efb340a1f7,30,2011 Rnd 2 Pick 8,6-10,United States,25,Chandler Parsons,SF,Florida,Memphis Grizzlies,230,7
5bfa2d1cdc6f74efb340a1f8,29,2010 Rnd 1 Pick 14,6-9,United States,54,Patrick Patterson,F,Kentucky,Oklahoma City Thunder,230,8
